time,enemyId,aiType,action,activeGlitch,health,distToPlayer,canSeePlayer
0.00,Player,Player,-,None,1.00,,0
0.00,FSM Enemy 6,FSM,PatrolState,None,1.00,28.1,0
0.00,FSM Enemy 12,FSM,PatrolState,None,1.00,38.1,0
0.00,FSM Enemy 4,FSM,PatrolState,None,1.00,48.9,0
0.00,FSM Enemy 2,FSM,PatrolState,None,1.00,89.4,0
0.00,FSM Enemy 13,FSM,PatrolState,None,1.00,49.2,0
0.00,FSM Enemy 10,FSM,PatrolState,None,1.00,66.4,0
0.00,FSM Enemy 3,FSM,PatrolState,None,0.90,82.0,0
0.00,FSM Enemy 1,FSM,PatrolState,None,1.00,89.4,0
0.00,FSM Enemy 14,FSM,PatrolState,None,1.00,75.0,0
0.00,FSM Enemy 8,FSM,PatrolState,None,1.00,48.1,0
0.00,FSM Enemy 11,FSM,PatrolState,None,1.00,37.9,0
0.00,FSM Enemy 15,FSM,PatrolState,None,1.00,28.5,0
0.00,FSM Enemy 7,FSM,PatrolState,None,1.00,28.1,0
0.00,FSM Enemy 5,FSM,PatrolState,None,1.00,69.3,0
0.00,FSM Enemy 9,FSM,PatrolState,None,1.00,33.4,0
0.00,Utility Enemy 10,Utility,AttackAction,None,1.00,30.2,0
0.00,Utility Enemy 8,Utility,AttackAction,None,1.00,77.4,0
0.00,Utility Enemy 6,Utility,AttackAction,None,1.00,42.0,0
0.00,Utility Enemy 4,Utility,AttackAction,None,1.00,62.9,0
0.00,Utility Enemy 11,Utility,AttackAction,None,1.00,33.7,0
0.00,Utility Enemy 15,Utility,AttackAction,None,1.00,80.1,0
0.00,Utility Enemy 1,Utility,AttackAction,None,1.00,84.4,0
0.00,Utility Enemy 12,Utility,AttackAction,None,1.00,33.7,0
0.00,Utility Enemy 9,Utility,AttackAction,None,1.00,44.6,0
0.00,Utility Enemy 5,Utility,AttackAction,None,1.00,84.0,0
0.00,Utility Enemy 3,Utility,AttackAction,None,1.00,62.9,0
0.00,Utility Enemy 7,Utility,AttackAction,None,1.00,42.0,0
0.00,Utility Enemy 14,Utility,AttackAction,None,1.00,50.6,0
0.00,Utility Enemy 2,Utility,AttackAction,None,1.00,84.4,0
0.00,Utility Enemy 13,Utility,AttackAction,None,1.00,50.6,0
0.50,Player,Player,-,None,1.00,,0
0.50,FSM Enemy 6,FSM,PatrolState,None,1.00,28.5,0
0.50,FSM Enemy 12,FSM,PatrolState,None,1.00,38.6,0
0.50,FSM Enemy 4,FSM,PatrolState,None,1.00,48.3,0
0.50,FSM Enemy 2,FSM,PatrolState,None,1.00,88.7,0
0.50,FSM Enemy 13,FSM,PatrolState,None,1.00,47.3,0
0.50,FSM Enemy 10,FSM,PatrolState,None,1.00,64.3,0
0.50,FSM Enemy 3,FSM,PatrolState,None,0.90,81.1,0
0.50,FSM Enemy 1,FSM,PatrolState,None,1.00,88.6,0
0.50,FSM Enemy 14,FSM,PatrolState,None,1.00,73.7,0
0.50,FSM Enemy 8,FSM,PatrolState,None,1.00,46.9,0
0.50,FSM Enemy 11,FSM,PatrolState,None,1.00,36.3,0
0.50,FSM Enemy 15,FSM,PatrolState,None,1.00,27.3,0
0.50,FSM Enemy 7,FSM,PatrolState,None,1.00,27.6,0
0.50,FSM Enemy 5,FSM,PatrolState,None,1.00,66.9,0
0.50,FSM Enemy 9,FSM,PatrolState,None,1.00,31.5,0
0.50,Utility Enemy 10,Utility,AttackAction,None,1.00,31.1,0
0.50,Utility Enemy 8,Utility,AttackAction,None,1.00,75.7,0
0.50,Utility Enemy 6,Utility,AttackAction,None,1.00,41.6,0
0.50,Utility Enemy 4,Utility,AttackAction,None,1.00,61.4,0
0.50,Utility Enemy 11,Utility,AttackAction,None,1.00,32.9,0
0.50,Utility Enemy 15,Utility,AttackAction,None,1.00,78.4,0
0.50,Utility Enemy 1,Utility,AttackAction,None,1.00,82.7,0
0.50,Utility Enemy 12,Utility,AttackAction,None,1.00,34.0,0
